Method,Family,IsUpperBound,NDCG@5%,NDCG@10%,NDCG@20%,Precision@10%,Recall@10%,Spearman,KendallTau,PairwiseAccuracy,NoiseKendallStability,Bootstrap_NDCG@10%_Std,RuntimeRank_ms,Top10_AvgUtility,Top10_Regret_vs_Oracle,Top10_AvgUsage,Top10_AvgCapacity,Top10_AvgRating,Top10_AvgCost,Top10_AvgDistance,Top10_RenewableShare,Top10_DemandCapacityFit,CongestionProxy_users_per_kW,CongestionProxy_RelativeToRandom,Transfer_NDCG@10%,Transfer_Precision@10%,Transfer_Spearman,Transfer_KendallTau,P1_RankingFidelity_100,P2_PlanningImpact_100,P3_OperationalImpact_100,P4_Robustness_100,P5_Scalability_100,P6_Transferability_100,P7_StatisticalReliability_100,IEEE_7PerspectiveScore_100
PRIME-EV,Proposed,False,0.996627871329024,0.9967144003163523,0.9965028254078382,0.9,0.9,0.9386310827073518,0.7943916454317598,0.8876666666666667,0.9807848929785956,0.0013259464493204072,0.050299999462107996,0.703953240316865,0.0024018328121743204,77.302,304.0,4.282,0.26114,8.71654,0.754,0.777680758807588,0.28061142857016275,0.24927142763376414,0.9966588771366003,0.901283335187864,0.9387825863048342,0.7948220580828903,95.78444676180496,88.53303912107224,81.99603137248187,97.35402549926422,98.99904326476987,95.74366900430641,95.10853366708477,92.40007160920462
GradientBoostedRanker,MLRanker,False,0.985962599190158,0.989759961222232,0.9905260882290655,0.852,0.852,0.9538231245867914,0.8147248940548094,0.9079693231077026,0.9809773743141044,0.004363896523013704,0.05385714238010613,0.7002662380654578,0.006088835063581488,78.368,319.6,4.2592,0.26536000000000004,8.4108,0.712,0.7478341463414635,0.26787809523703676,0.23796021271048712,0.9893924079719417,0.8462738358699191,0.9549112863363168,0.8176910679164445,94.73818215084398,87.14199554283113,82.20425829773511,94.16580903027527,98.92863756292621,94.31707245843074,90.89421342607417,90.91809204066594
AHP,MCDM,False,0.9935839340315598,0.9902682443478346,0.9855519016629581,0.826,0.826,0.8718127259777497,0.6918248414472681,0.843,0.9810419939909971,0.002023739841607022,0.04714285647163966,0.6987405327496354,0.0076145403794039,79.078,300.128,4.3488,0.25168,7.67028,0.712,0.6726845528455285,0.4292116017246442,0.38127523623694937,0.9899851984471474,0.8195191408165705,0.8710553491950813,0.6911774810317438,92.79586721471708,86.12971096734536,79.66077209476295,96.63555491120816,99.06157383158765,92.20375334764543,92.66783368699303,90.16291320395297
RandomForestRanker,MLRanker,False,0.9688572081309679,0.9798110842831208,0.9839954321244064,0.804,0.804,0.9414482698574113,0.7904157852921758,0.8896298766255418,0.9800852086388053,0.004966155028898421,0.04805714083236775,0.695047379153638,0.011307693975401323,82.556,324.0,4.1538,0.28896000000000005,9.01584,0.63,0.8010818428184282,0.2726742857132613,0.2422207421312018,0.9805963038807262,0.7969989573416746,0.9423214328968076,0.7925307867833687,92.86733640539293,86.12107149482459,81.65010177860405,93.47328988889623,99.04346139808892,92.43767587105945,89.36599175785426,89.79394982552756
MultiObjective_WeightedSum,MultiObjective,False,0.9898315015029826,0.9879832589229168,0.9840952904065374,0.804,0.804,0.8917551261188243,0.7146791131071027,0.8643333333333333,0.981139032034233,0.003936207543125628,0.04875714200482305,0.6972249308317702,0.009130142297269161,75.784,309.04,4.319799999999999,0.2461,7.29336,0.716,0.6590720867208673,0.37389956709401173,0.33214070915100585,0.9876060212115977,0.8024038837992326,0.8913331904497087,0.7143540735265675,92.59011226294018,85.72471060053657,80.23312156874162,94.62692194529228,99.02959626085226,91.98747032163264,90.28626539787837,89.60358631699866
TOPSIS,MCDM,False,0.9888881379690905,0.9888144463797349,0.9789722190492798,0.826,0.826,0.7426373279687863,0.5609113120082188,0.782,0.9807804120824166,0.003451121155280885,0.047085715258227925,0.6979234641234108,0.00843160900562856,82.12,322.8,4.2856000000000005,0.2677,8.37632,0.558,0.7459176151761518,0.2817219047607859,0.25025788063320326,0.9892390752370582,0.8330160025386464,0.7411957107559118,0.559789562824344,90.74616421263408,86.11005801223027,80.67713616416813,95.11468965427386,99.06270593776287,90.55206337081461,88.82996671754168,89.15348106347705
VIKOR,MCDM,False,0.9839675038704019,0.9846317189387127,0.9790064576331354,0.794,0.794,0.8144466105065323,0.6275425909592077,0.8273333333333334,0.9799973594700953,0.006149594663213943,0.0489857151738501,0.6948154551594751,0.011539617969564264,81.18,309.2,4.3212,0.26732000000000006,8.254719999999999,0.614,0.7237875338753388,0.29983619047488114,0.2663490779287882,0.9848232113263621,0.7924656602747179,0.8142772953807466,0.6277265391741206,90.98435192117267,85.53789406922941,80.82635793941888,92.22072968125131,99.02506926259912,90.4100916662323,85.90263951086904,88.3918479830115
RidgeLinearRanker,MLRanker,False,0.9754099559307698,0.975749889576626,0.9805740013861742,0.732,0.732,0.9130715224665158,0.743815602130932,0.8756252084028009,0.9812109941988398,0.0050174259495601135,0.048828571120144,0.6882787179487182,0.018076355180321135,70.58,302.016,4.359199999999999,0.24124,6.833600000000001,0.784,0.6088466124661247,0.3923546320277925,0.3485346258441284,0.9760246467087387,0.7330155904207313,0.9129240980936734,0.7437822221974102,90.867635945311,83.86782262419841,78.51739663379696,93.4924478608479,99.02818155166713,90.09465095433531,88.85317058461482,88.07981965349614
Pareto_BalancedSort,MultiObjective,False,0.9657018341718538,0.9611176837368494,0.9648104539988148,0.612,0.612,0.8385392134035657,0.6434702495136055,0.8173333333333334,0.9805290955518375,0.006293826696498264,0.04971428591358874,0.6771327919949972,0.029222281134042127,71.442,226.992,4.408799999999999,0.22488,6.47186,0.728,0.7413685636856369,0.5005736796453062,0.44466726247349864,0.9619034716357274,0.6080140449785493,0.8385571477562843,0.6438710073778587,86.45770845812896,84.31481535423288,74.21528414619137,92.10333233597233,99.01064096023548,85.09093386252361,85.08065343345068,85.3065838285808
DemandCapacityHeuristic,Heuristic,False,0.929416110007079,0.9487290820988677,0.9339714240847957,0.682,0.682,0.537134343065994,0.3779351583758657,0.6875625208402801,0.9818529680899376,0.005789542144231036,0.05034285797072308,0.6793630905982909,0.026991982530748415,82.92,350.0,4.011400000000001,0.2935,10.35518,0.5,0.8102222222222223,0.2369142857136088,0.2104545867129524,0.9481173010296345,0.6820984220005027,0.5355590115142711,0.3770126759845123,82.64275549264222,82.74647646351086,79.35857105688953,92.72068888615274,98.99819467813707,81.9583925914114,81.82441428070806,84.59828569350381
WASPAS,MCDM,False,0.9620492144407248,0.9534406129048153,0.9473213330055001,0.586,0.586,0.8383825249117857,0.6456977228562151,0.8182727575858619,0.9778324304860974,0.012082723433846363,0.047599998652003706,0.6702779996247659,0.03607707350427347,72.28,268.0,4.248600000000001,0.26756,8.49456,1.0,0.6170731707317073,0.3967276190438913,0.3524192171527618,0.9542499955731607,0.5885352917176663,0.838942969887912,0.6464070022393212,85.62888100732819,81.1138209790984,76.92220698582538,85.82897505570692,99.05251720084041,84.27609680380962,75.95394808494204,83.16693417582874
SAW_EqualWeights,MCDM,False,0.9414294343765975,0.9437793631187549,0.9570389761555358,0.56,0.56,0.8517626185744857,0.6604786535030164,0.819,0.9813183639364798,0.013549212857722854,0.04959999932907522,0.6663860347300399,0.03996903839899946,68.196,249.448,4.3108,0.24194000000000002,7.25068,0.89,0.571579945799458,0.6486943722774537,0.5762451411887468,0.9436238334506853,0.5552959212689935,0.8514743134963569,0.6603529584203058,84.63933213162912,79.91743059564692,71.33556920888473,84.51049471878235,99.01290410369724,83.16197846407078,74.00783306519007,81.227034555572
ShallowTreeRanker,MLRanker,False,0.8483641393896666,0.9069963653802235,0.9251963129318562,0.59,0.59,0.732242084912894,0.5424254106655625,0.7692564188062687,0.9386072286143372,0.023287889803172503,0.041185712949040214,0.6572896991452994,0.04906537398373989,77.476,350.0,4.014,0.29792,10.555639999999999,0.492,0.7497333333333334,0.22135999999936756,0.19663747660603836,0.9015372854348113,0.5860831901223578,0.7334799701084934,0.5434966859681142,80.82055966335867,77.96778253355508,77.84825894582997,71.47378182726482,99.1796689711654,80.27354072855096,57.31033538964297,77.49368004146946
QualityGreenHeuristic,Heuristic,False,0.7751425230083054,0.8135153019457589,0.8518454541438643,0.224,0.224,0.5116541448415011,0.3567409328506336,0.6643333333333333,0.9822416866639948,0.015169757223798205,0.05002856986331088,0.5856285544715449,0.1207265186574944,54.724,142.344,4.7345999999999995,0.29728000000000004,10.39404,1.0,0.5797306233062332,1.0263040692299281,0.9116816154881575,0.8074435628601485,0.2191849131873612,0.5118171422450417,0.3574525901436325,66.02295083045723,66.72799338493886,53.536488380602556,82.8631352599459,99.00441766476462,63.72001753155929,65.07222058233886,68.43489606352759
CostAccessHeuristic,Heuristic,False,0.7680151127428135,0.8003121104485086,0.8368878177647127,0.22,0.22,0.4260100214382663,0.29286288938373956,0.6398799599866623,0.9816212098132041,0.019876440217154737,0.046171428818654804,0.5759849190327291,0.13037015409631025,55.342,144.824,4.0358,0.16063999999999998,3.53348,0.524,0.5648,1.0407343722595757,0.9245002745702793,0.7965920059004664,0.22135677460034864,0.43041945151629113,0.296328569753346,64.289939964479,64.23389316896849,56.53072925266821,77.86393050795385,99.08082193177442,62.16639699445935,57.00283997249237,66.49834597222947
CapacityOnly,Heuristic,False,0.7447784935454835,0.7960930128859692,0.8533469776747853,0.316,0.316,0.5121710124809516,0.3976237013593118,0.559,0.8660384313140511,0.030863733047331376,0.008699999723051275,0.5776303487179489,0.1287247244110904,55.832,350.0,3.9579999999999997,0.29440000000000005,10.38124,0.518,0.5092444444444444,0.15951999999954425,0.1417040579517313,0.7918315827032566,0.30740287411034045,0.5133746378053826,0.39873747394365333,66.47933395459486,60.83518013440122,69.09048204378081,58.775042311723034,99.82615129776713,65.44492682217717,38.85516626516922,64.5946155703358
DistanceOnly,Heuristic,False,0.7260116982145527,0.7597158622821427,0.8075590136114835,0.15,0.15,0.3316864719239826,0.22374134022354839,0.60486828942981,0.9809528914288551,0.027508925335180394,0.05185714378187965,0.5477434332707947,0.15861163985824467,55.664,141.488,3.9836000000000005,0.30798,1.43712,0.49,0.5720433604336043,1.049789783514516,0.9325443350094123,0.7531260506839422,0.14733009408652004,0.3350780675041534,0.2263404816772939,59.61092734078994,56.50763580129357,58.44428346607089,69.77904529598706,98.96821690555153,57.05640771636842,43.90655022333446,61.4352977934867
CostOnly,Heuristic,False,0.7158840822247778,0.7426994983847209,0.790705172818268,0.164,0.164,0.2745145104515962,0.1866519458066507,0.5923333333333334,0.9855961466593367,0.0260884565321723,0.03812857072002122,0.534343281050657,0.17201179207838235,55.384,140.104,4.0164,0.11992000000000001,10.342559999999999,0.49,0.5625945799457995,1.0905419913046335,0.9687451450292737,0.7398517762254816,0.1596462379816113,0.2757170824155611,0.18760124336114603,58.466528900923784,57.8408679918782,47.55381378095845,71.5774364260345,99.24032878469775,55.97966292064829,45.309801072615194,59.7734809202443
RatingOnly,Heuristic,False,0.7314452330375467,0.7698545445346267,0.8142471950716103,0.188,0.188,0.3530002289961751,0.2450994418339444,0.6035345115038346,0.9753423781427483,0.03142356189736452,0.04479999915929511,0.5542767349176573,0.15207833821138206,55.574,141.056,4.905,0.30196000000000006,10.22962,0.528,0.5771875338753387,1.0208199133863958,0.9068099559002033,0.764216187209537,0.1897535122749321,0.35200745348087015,0.24423407884261653,61.06725903843533,59.79654900120188,49.16685147404395,65.28997358021158,99.10800213475186,58.87481116032425,38.14842695143318,59.68822248449887
RenewableOnly,Heuristic,False,0.6953104050933477,0.7335110944558589,0.7871328573506917,0.134,0.134,0.36846122901876605,0.3008774650486779,0.371457152384128,0.7069310223027837,0.02372413991007758,0.007428572903985956,0.5317665260787996,0.17458854705023974,52.966,153.016,3.9701999999999997,0.29874,10.41078,1.0,0.5868336043360435,0.9344808657699285,0.8301136582135425,0.7298358350283282,0.13485116361493352,0.36778508252099845,0.3003880356396819,57.40767668716005,56.26087510046987,54.89011888850597,55.95520340943663,99.85153885467321,56.3936826700565,43.257160185878604,58.362964019453145
Random,Heuristic,False,0.6600427032373622,0.6945623224813201,0.7386764336108237,0.114,0.114,0.008886566084315754,0.0060548119311562175,0.502,0.9806561632326465,0.018773499212501356,0.05109999931716759,0.5027835675630605,0.2035715055659788,55.844,154.696,4.0012,0.30024,9.925480000000002,0.506,0.5715062330623306,0.9773696969377623,0.8682124634875277,0.6883420602908723,0.10988093913430512,0.007900194276063784,0.005323765873988865,51.59724514069478,49.216890317633656,50.71712992782115,78.96324063126234,98.98320468783702,48.82803696357747,52.760610870471055,58.30573993131622
DemandOnly,Heuristic,False,0.7066643363078554,0.748048129877093,0.79883472150392,0.252,0.252,0.29108597068725356,0.20233473947130637,0.5956666666666667,0.9846040238276206,0.0332200239097147,0.04727142887921738,0.5399804504481971,0.16637462268084224,96.182,141.088,4.0106,0.30086,9.97104,0.506,0.3836287262872629,1.8321584414967365,1.6275343904924084,0.7377768159399815,0.24084995198826287,0.286740301672141,0.1993657412493274,60.49480140116036,52.44917700430823,43.9225982678737,63.99926154984892,99.05902654732964,58.08543723997379,34.862534705769775,56.69062994291641
KMeansRepresentative,Heuristic,False,0.6292521169978759,0.6661116517906943,0.7129034326690399,0.04,0.04,-0.10354300807166046,-0.06924073922636444,0.4686666666666667,0.9812609241848369,0.01972432955526956,0.05295714280301971,0.4795142835105278,0.22684078961851156,52.272,109.656,4.0018,0.29934000000000005,10.0509,0.502,0.6092840108401084,1.1112498700935298,0.987140270756252,0.6604836217483597,0.03961895577562652,-0.10513528314700028,-0.07029075307900699,47.2732466443065,48.44047254296889,45.491010775605424,78.00077290941965,98.94644631205847,44.309430276201816,49.85184225111446,55.38190344201958
OldestFirst,Heuristic,False,0.6319215785211044,0.6735536285577847,0.72239209318711,0.104,0.104,-0.07287633195556432,-0.05047601354282865,0.41133333333333333,0.9636445621537195,0.025256930824908583,0.014100001343259854,0.49062782422347323,0.2157272489055661,58.356,144.592,3.9586,0.29270000000000007,10.00014,0.548,0.5804856368563684,1.0563546319997044,0.9383759904143277,0.679072108074144,0.11057329723180397,-0.07432169757407746,-0.051429949362899484,48.89091478662482,48.86747074301566,50.32576206328372,71.02666346948878,99.71839721971101,47.322210571576306,40.328516990863946,55.202938324837774
Oracle_WeightedUtility_UpperBound,UpperBound,True,0.9999999999999684,0.9999999999999803,0.999999999999988,1.0,1.0,1.0,0.9999999999999999,1.0,0.9801912030712192,2.6794506839314682e-15,0.05304285774140486,0.7063550731290393,0.0,78.918,308.544,4.264799999999999,0.25618,8.02824,0.694,0.7679723577235773,0.29089194805038404,0.2584037704635243,0.9225805594427483,0.5706895556956757,0.6345194908113823,0.47111707995588376,99.99999999999885,88.60231416226377,82.687037998893,98.71242819962643,98.94475008888787,79.48414437520881,99.99999999999567,91.28486644409975
