Method,Metric,Mean,Std,CI95_L,CI95_U,N
AHP_WeightedSum,NDCG@10,0.5103859705796672,0.024517885308809405,0.4799429950796295,0.5408289460797049,5
AHP_WeightedSum,MAP@10,0.0,0.0,0.0,0.0,5
AHP_WeightedSum,Recall@10,0.0,0.0,0.0,0.0,5
AHP_WeightedSum,HitRate@10,0.0,0.0,0.0,0.0,5
AHP_WeightedSum,TopKOverlap@10,0.0,0.0,0.0,0.0,5
AHP_WeightedSum,Regret@10,0.47737776994705194,0.005615010010737144,0.47040581416716587,0.484349725726938,5
AHP_WeightedSum,NDCG@25,0.5157614970533959,0.01142650899662978,0.5015736122071293,0.5299493818996626,5
AHP_WeightedSum,MAP@25,0.0,0.0,0.0,0.0,5
AHP_WeightedSum,Recall@25,0.0,0.0,0.0,0.0,5
AHP_WeightedSum,HitRate@25,0.0,0.0,0.0,0.0,5
AHP_WeightedSum,TopKOverlap@25,0.0,0.0,0.0,0.0,5
AHP_WeightedSum,Regret@25,0.45279999697208406,0.007950462912994552,0.4429281934039645,0.4626718005402036,5
AHP_WeightedSum,NDCG@50,0.5621716859359389,0.009532584456337808,0.5503354190066674,0.5740079528652104,5
AHP_WeightedSum,MAP@50,0.005899918975034182,0.0012627597621910583,0.0043319956399411955,0.007467842310127169,5
AHP_WeightedSum,Recall@50,0.076,0.00894427190999916,0.06489421957920881,0.08710578042079119,5
AHP_WeightedSum,HitRate@50,1.0,0.0,1.0,1.0,5
AHP_WeightedSum,TopKOverlap@50,0.076,0.00894427190999916,0.06489421957920881,0.08710578042079119,5
AHP_WeightedSum,Regret@50,0.3800977764725685,0.0012720740580822979,0.37851828791159875,0.3816772650335382,5
AHP_WeightedSum,NDCG@100,0.5829376747657611,0.007673251022221196,0.5734100752222888,0.5924652743092333,5
AHP_WeightedSum,MAP@100,0.024366183471871316,0.007512823958265037,0.015037780438050903,0.03369458650569173,5
AHP_WeightedSum,Recall@100,0.14,0.022360679774997894,0.11223554894802203,0.167764451051978,5
AHP_WeightedSum,HitRate@100,1.0,0.0,1.0,1.0,5
AHP_WeightedSum,TopKOverlap@100,0.14,0.022360679774997894,0.11223554894802203,0.167764451051978,5
AHP_WeightedSum,Regret@100,0.3441688880026339,0.0008248604225983962,0.3431446885123503,0.3451930874929175,5
AHP_WeightedSum,NDCG_full,0.9193517623507308,0.002874536117446585,0.9157825543421609,0.9229209703593007,5
AHP_WeightedSum,NDCG@10pct,0.5843903755204501,0.006744469073006542,0.5760160110854992,0.5927647399554011,5
AHP_WeightedSum,P@10pct,0.136993699369937,0.025762079308728446,0.10500585297341872,0.16898154576645527,5
AHP_WeightedSum,Spearman,0.002116874542499423,0.01590303314339991,-0.017629349173901524,0.021863098258900367,5
AHP_WeightedSum,KendallTau,0.0013388096271730785,0.010138204917783267,-0.01124943442565078,0.013927053679996937,5
AHP_WeightedSum,PairwiseAccuracy,0.5034400000000001,0.013342713367227827,0.48687283317356117,0.5200071668264391,5
GradientBoostedRanker,NDCG@10,0.5986537799995868,0.12086161383902011,0.44858426533086937,0.7487232946683042,5
GradientBoostedRanker,MAP@10,0.0,0.0,0.0,0.0,5
GradientBoostedRanker,Recall@10,0.0,0.0,0.0,0.0,5
GradientBoostedRanker,HitRate@10,0.0,0.0,0.0,0.0,5
GradientBoostedRanker,TopKOverlap@10,0.0,0.0,0.0,0.0,5
GradientBoostedRanker,Regret@10,0.3877333252131939,0.08293038269301914,0.28476165466601133,0.4907049957603765,5
GradientBoostedRanker,NDCG@25,0.5725792786933023,0.06330110464809477,0.49398057600523393,0.6511779813813706,5
GradientBoostedRanker,MAP@25,0.00208,0.0028481572990268636,-0.0014564543794229365,0.005616454379422936,5
GradientBoostedRanker,Recall@25,0.032,0.04381780460041329,-0.022406990452660557,0.08640699045266056,5
GradientBoostedRanker,HitRate@25,0.4,0.5477225575051662,-0.280087380658257,1.0800873806582572,5
GradientBoostedRanker,TopKOverlap@25,0.032,0.04381780460041329,-0.022406990452660557,0.08640699045266056,5
GradientBoostedRanker,Regret@25,0.40759110558032996,0.037969428747167876,0.36044583287260845,0.45473637828805147,5
GradientBoostedRanker,NDCG@50,0.5707786692939566,0.040792044829579585,0.5201286558159536,0.6214286827719596,5
GradientBoostedRanker,MAP@50,0.013441954887218046,0.012645167246695184,-0.002259094034268808,0.029143003808704902,5
GradientBoostedRanker,Recall@50,0.052000000000000005,0.02683281572999748,0.018682658737626416,0.08531734126237359,5
GradientBoostedRanker,HitRate@50,1.0,0.0,1.0,1.0,5
GradientBoostedRanker,TopKOverlap@50,0.052000000000000005,0.02683281572999748,0.018682658737626416,0.08531734126237359,5
GradientBoostedRanker,Regret@50,0.3920577745884657,0.016160342201907197,0.37199205947770453,0.41212348969922685,5
GradientBoostedRanker,NDCG@100,0.5943517767738092,0.026656937410575055,0.561252817288727,0.6274507362588915,5
GradientBoostedRanker,MAP@100,0.019070222633653565,0.008243101867732925,0.008835059810963367,0.029305385456343765,5
GradientBoostedRanker,Recall@100,0.11399999999999999,0.018165902124584955,0.09144405333700954,0.13655594666299045,5
GradientBoostedRanker,HitRate@100,1.0,0.0,1.0,1.0,5
GradientBoostedRanker,TopKOverlap@100,0.11399999999999999,0.018165902124584955,0.09144405333700954,0.13655594666299045,5
GradientBoostedRanker,Regret@100,0.34481999813020225,0.0152606983770699,0.3258713383679479,0.3637686578924566,5
GradientBoostedRanker,NDCG_full,0.922509930215756,0.005585155279114603,0.9155750439813017,0.9294448164502103,5
GradientBoostedRanker,NDCG@10pct,0.5941898691144549,0.028432567040768034,0.5588861742434182,0.6294935639854916,5
GradientBoostedRanker,P@10pct,0.11335133513351334,0.01821481135100545,0.09073465964489656,0.13596801062213013,5
GradientBoostedRanker,Spearman,0.0070883618544039335,0.009441484761401253,-0.004634789863417479,0.018811513572225345,5
GradientBoostedRanker,KendallTau,0.0047853464050245055,0.006279247924902035,-0.0030113696791220597,0.01258206248917107,5
GradientBoostedRanker,PairwiseAccuracy,0.49924,0.007111118055552193,0.49041038072344406,0.5080696192765559,5
MultiObjective_WeightedSum,NDCG@10,0.517093027762126,0.060845707381034994,0.4415431034618536,0.5926429520623983,5
MultiObjective_WeightedSum,MAP@10,0.0,0.0,0.0,0.0,5
MultiObjective_WeightedSum,Recall@10,0.0,0.0,0.0,0.0,5
MultiObjective_WeightedSum,HitRate@10,0.0,0.0,0.0,0.0,5
MultiObjective_WeightedSum,TopKOverlap@10,0.0,0.0,0.0,0.0,5
MultiObjective_WeightedSum,Regret@10,0.46217777132987975,0.0317024795221041,0.4228139438534909,0.5015415988062686,5
MultiObjective_WeightedSum,NDCG@25,0.5489674550905459,0.02389277804132545,0.5193006527795586,0.5786342574015332,5
MultiObjective_WeightedSum,MAP@25,0.0006153846153846154,0.0013760418323075629,-0.0010931969878140296,0.0023239662185832607,5
MultiObjective_WeightedSum,Recall@25,0.008,0.01788854381999832,-0.014211560841582389,0.03021156084158239,5
MultiObjective_WeightedSum,HitRate@25,0.2,0.44721359549995804,-0.3552890210395599,0.75528902103956,5
MultiObjective_WeightedSum,TopKOverlap@25,0.008,0.01788854381999832,-0.014211560841582389,0.03021156084158239,5
MultiObjective_WeightedSum,Regret@25,0.4067111096382142,0.0012919479109530076,0.4051069444296293,0.40831527484679914,5
MultiObjective_WeightedSum,NDCG@50,0.546748903874956,0.0075685722067604065,0.5373512802480159,0.5561465275018961,5
MultiObjective_WeightedSum,MAP@50,0.00605637011904293,0.0012677263067588317,0.004482280004364665,0.0076304602337211955,5
MultiObjective_WeightedSum,Recall@50,0.076,0.00894427190999916,0.06489421957920881,0.08710578042079119,5
MultiObjective_WeightedSum,HitRate@50,1.0,0.0,1.0,1.0,5
MultiObjective_WeightedSum,TopKOverlap@50,0.076,0.00894427190999916,0.06489421957920881,0.08710578042079119,5
MultiObjective_WeightedSum,Regret@50,0.4037199988365174,0.011508296544635211,0.38943056133639103,0.4180094363366437,5
MultiObjective_WeightedSum,NDCG@100,0.5753846224959422,0.008273532876810721,0.5651116745848511,0.5856575704070334,5
MultiObjective_WeightedSum,MAP@100,0.021078842064547056,0.006487305193089455,0.013023788760927546,0.029133895368166567,5
MultiObjective_WeightedSum,Recall@100,0.124,0.013416407864998738,0.10734132936881322,0.14065867063118678,5
MultiObjective_WeightedSum,HitRate@100,1.0,0.0,1.0,1.0,5
MultiObjective_WeightedSum,TopKOverlap@100,0.124,0.013416407864998738,0.10734132936881322,0.14065867063118678,5
MultiObjective_WeightedSum,Regret@100,0.3548733319547027,0.0027677558543718708,0.3514367091545115,0.35830995475489397,5
MultiObjective_WeightedSum,NDCG_full,0.9196312474151757,0.00349898934768618,0.9152866783120552,0.9239758165182961,5
MultiObjective_WeightedSum,NDCG@10pct,0.5763738894988751,0.010597956890607402,0.5632147879732924,0.5895329910244579,5
MultiObjective_WeightedSum,P@10pct,0.11913191319131915,0.021423673591807163,0.09253090898310341,0.14573291739953487,5
MultiObjective_WeightedSum,Spearman,0.003121323340150076,0.016416442459575405,-0.017262382240488396,0.02350502892078855,5
MultiObjective_WeightedSum,KendallTau,0.0014733966466794312,0.01016745242967873,-0.011151162988702062,0.014097956282060923,5
MultiObjective_WeightedSum,PairwiseAccuracy,0.5029199999999999,0.012152859745755312,0.48783023157847577,0.518009768421524,5
PRIME-EV,NDCG@10,0.5571967963856111,0.08404785276214675,0.4528376034845225,0.6615559892866998,5
PRIME-EV,MAP@10,0.0,0.0,0.0,0.0,5
PRIME-EV,Recall@10,0.0,0.0,0.0,0.0,5
PRIME-EV,HitRate@10,0.0,0.0,0.0,0.0,5
PRIME-EV,TopKOverlap@10,0.0,0.0,0.0,0.0,5
PRIME-EV,Regret@10,0.4351333223283291,0.0768072907377394,0.3397644746197085,0.5305021700369497,5
PRIME-EV,NDCG@25,0.5485868234982989,0.06755217186813224,0.46470972368916585,0.632463923307432,5
PRIME-EV,MAP@25,0.004421052631578948,0.008756477618141231,-0.006451550377944087,0.015293655641101984,5
PRIME-EV,Recall@25,0.016,0.021908902300206645,-0.011203495226330278,0.04320349522633028,5
PRIME-EV,HitRate@25,0.4,0.5477225575051662,-0.280087380658257,1.0800873806582572,5
PRIME-EV,TopKOverlap@25,0.016,0.021908902300206645,-0.011203495226330278,0.04320349522633028,5
PRIME-EV,Regret@25,0.42418666195869453,0.05729807082900189,0.35304171024379344,0.4953316136735956,5
PRIME-EV,NDCG@50,0.5471247736171806,0.03690958131360823,0.5012954753112988,0.5929540719230624,5
PRIME-EV,MAP@50,0.0030031105431563097,0.005170043290706395,-0.003416346080068751,0.00942256716638137,5
PRIME-EV,Recall@50,0.028000000000000004,0.017888543819998316,0.005788439158417619,0.05021156084158239,5
PRIME-EV,HitRate@50,1.0,0.0,1.0,1.0,5
PRIME-EV,TopKOverlap@50,0.028000000000000004,0.017888543819998316,0.005788439158417619,0.05021156084158239,5
PRIME-EV,Regret@50,0.41050666561722765,0.024191512841573497,0.38046893505976176,0.44054439617469354,5
PRIME-EV,NDCG@100,0.5696654521357659,0.03241860604308784,0.5294124361401127,0.6099184681314191,5
PRIME-EV,MAP@100,0.006550119175577405,0.00327708760754124,0.0024810774743337337,0.010619160876821077,5
PRIME-EV,Recall@100,0.07200000000000001,0.013038404810405297,0.05581068215291295,0.08818931784708707,5
PRIME-EV,HitRate@100,1.0,0.0,1.0,1.0,5
PRIME-EV,TopKOverlap@100,0.07200000000000001,0.013038404810405297,0.05581068215291295,0.08818931784708707,5
PRIME-EV,Regret@100,0.36427777707576753,0.02395884794489897,0.3345289381441482,0.39402661600738687,5
PRIME-EV,NDCG_full,0.9189282007959617,0.005815592282881492,0.9117071892300761,0.9261492123618473,5
PRIME-EV,NDCG@10pct,0.5706690136918379,0.030523005258777675,0.5327696969450294,0.6085683304386463,5
PRIME-EV,P@10pct,0.07346734673467346,0.01765829436706267,0.051541678349407385,0.09539301511993954,5
PRIME-EV,Spearman,-0.005303814730073223,0.04104880387547678,-0.05627263667157999,0.045665007211433545,5
PRIME-EV,KendallTau,-0.0036805982758477797,0.02734640712903172,-0.03763564748818929,0.030274450936493728,5
PRIME-EV,PairwiseAccuracy,0.495,0.014576693726630872,0.4769006441867997,0.5130993558132002,5
Pareto_Balanced,NDCG@10,0.6316384550498688,0.11905638884720772,0.4838104232621426,0.7794664868375951,5
Pareto_Balanced,MAP@10,0.0,0.0,0.0,0.0,5
Pareto_Balanced,Recall@10,0.0,0.0,0.0,0.0,5
Pareto_Balanced,HitRate@10,0.0,0.0,0.0,0.0,5
Pareto_Balanced,TopKOverlap@10,0.0,0.0,0.0,0.0,5
Pareto_Balanced,Regret@10,0.34726665735244755,0.09649876153930008,0.22744761927784837,0.4670856954270467,5
Pareto_Balanced,NDCG@25,0.5943228053284276,0.07179939024919568,0.5051720873630188,0.6834735232938365,5
Pareto_Balanced,MAP@25,0.004,0.00223606797749979,0.0012235548948022015,0.006776445105197799,5
Pareto_Balanced,Recall@25,0.032,0.01788854381999832,0.009788439158417612,0.05421156084158239,5
Pareto_Balanced,HitRate@25,0.8,0.4472135954999579,0.24471097896044036,1.3552890210395598,5
Pareto_Balanced,TopKOverlap@25,0.032,0.01788854381999832,0.009788439158417612,0.05421156084158239,5
Pareto_Balanced,Regret@25,0.3854577729701997,0.04738476731010886,0.3266218133379748,0.44429373260242455,5
Pareto_Balanced,NDCG@50,0.5735376757843194,0.029134957922654664,0.5373618474425774,0.6097135041260613,5
Pareto_Balanced,MAP@50,0.00264,0.001475804865149861,0.0008075462305694532,0.0044724537694305466,5
Pareto_Balanced,Recall@50,0.032,0.01788854381999832,0.009788439158417612,0.05421156084158239,5
Pareto_Balanced,HitRate@50,0.8,0.4472135954999579,0.24471097896044036,1.3552890210395598,5
Pareto_Balanced,TopKOverlap@50,0.032,0.01788854381999832,0.009788439158417612,0.05421156084158239,5
Pareto_Balanced,Regret@50,0.39525333139300345,0.0014608968851993797,0.39343938832556336,0.39706727446044354,5
Pareto_Balanced,NDCG@100,0.5876155464386197,0.004759566743744655,0.581705763765864,0.5935253291113753,5
Pareto_Balanced,MAP@100,0.02147381863498681,0.007198264031132786,0.012535993337964112,0.030411643932009506,5
Pareto_Balanced,Recall@100,0.1,0.0,0.1,0.1,5
Pareto_Balanced,HitRate@100,1.0,0.0,1.0,1.0,5
Pareto_Balanced,TopKOverlap@100,0.1,0.0,0.1,0.1,5
Pareto_Balanced,Regret@100,0.355428887695074,0.015712105031392518,0.3359197325415977,0.37493804284855037,5
Pareto_Balanced,NDCG_full,0.9222419529262597,0.004949553379770456,0.916096270687411,0.9283876351651084,5
Pareto_Balanced,NDCG@10pct,0.5847944796381233,0.004263224866439478,0.5795009868052183,0.5900879724710282,5
Pareto_Balanced,P@10pct,0.09738973897389738,0.003622792402789939,0.092891448074387,0.10188802987340777,5
Pareto_Balanced,Spearman,0.00948388419798737,0.020583916471403462,-0.016074423826587816,0.03504219222256256,5
Pareto_Balanced,KendallTau,0.0065093381000270205,0.013466733351049736,-0.0102118198753814,0.023230496075435442,5
Pareto_Balanced,PairwiseAccuracy,0.50676,0.00857134761866535,0.49611726624581365,0.5174027337541863,5
Random,NDCG@10,0.5428924559563637,0.11675291889172046,0.39792455988331,0.6878603520294174,5
Random,MAP@10,0.0,0.0,0.0,0.0,5
Random,Recall@10,0.0,0.0,0.0,0.0,5
Random,HitRate@10,0.0,0.0,0.0,0.0,5
Random,TopKOverlap@10,0.0,0.0,0.0,0.0,5
Random,Regret@10,0.4464444339275361,0.08799849578059923,0.33717986982067993,0.5557089980343922,5
Random,NDCG@25,0.55375463447596,0.06617708164354087,0.4715849346929839,0.635924334258936,5
Random,MAP@25,0.002308498519024835,0.0020840627488501024,-0.0002792071662199155,0.004896204204269585,5
Random,Recall@25,0.032,0.01788854381999832,0.009788439158417612,0.05421156084158239,5
Random,HitRate@25,0.8,0.44721359549995804,0.24471097896044014,1.3552890210395598,5
Random,TopKOverlap@25,0.032,0.01788854381999832,0.009788439158417612,0.05421156084158239,5
Random,Regret@25,0.4148177720308304,0.04304515745009659,0.36137014972803283,0.468265394333628,5
Random,NDCG@50,0.5678097061096649,0.02746368232961154,0.5337090405028813,0.6019103717164485,5
Random,MAP@50,0.0048324292699032855,0.003700136556926994,0.00023810291872939596,0.009426755621077174,5
Random,Recall@50,0.052000000000000005,0.017888543819998316,0.02978843915841762,0.0742115608415824,5
Random,HitRate@50,1.0,0.0,1.0,1.0,5
Random,TopKOverlap@50,0.052000000000000005,0.017888543819998316,0.02978843915841762,0.0742115608415824,5
Random,Regret@50,0.3836355535686017,0.0077230559148019585,0.37404611308307745,0.3932249940541259,5
Random,NDCG@100,0.5866746673598391,0.022832539515270336,0.558324325056163,0.6150250096635151,5
Random,MAP@100,0.021744715119915735,0.01707749148465786,0.0005402087637846817,0.04294922147604679,5
Random,Recall@100,0.10600000000000001,0.028809720581775868,0.07022800715529884,0.14177199284470118,5
Random,HitRate@100,1.0,0.0,1.0,1.0,5
Random,TopKOverlap@100,0.10600000000000001,0.028809720581775868,0.07022800715529884,0.14177199284470118,5
Random,Regret@100,0.3461666654795408,0.012742053325252736,0.33034531660238187,0.3619880143566997,5
Random,NDCG_full,0.9200625879674666,0.0058805200761075935,0.9127609578982494,0.9273642180366839,5
Random,NDCG@10pct,0.5864616654671039,0.021320981256489565,0.5599881706345435,0.6129351602996642,5
Random,P@10pct,0.10717071707170718,0.02871633537443781,0.07151467727692248,0.14282675686649188,5
