Method,Metric,MetricLabel,NSeeds,Mean,Std,CI95_Lower,CI95_Upper
PRIME-EV,NDCG_full,NDCG,5,0.5696654521357659,0.03241860604308784,0.5294124361401127,0.6099184681314191
PRIME-EV,NDCG_at_10_percent,NDCG@10\%,5,0.5706690136918379,0.030523005258777675,0.5327696969450294,0.6085683304386463
PRIME-EV,Precision_at_10_percent,P@10\%,5,0.07346734673467345,0.017658294367062666,0.05154167834940737,0.09539301511993953
PRIME-EV,Spearman,Spearman,5,-0.00530381473007322,0.04104880387547672,-0.05627263667157991,0.04566500721143347
PRIME-EV,PairwiseAccuracy,Pairwise Acc.,5,0.495,0.014576693726630872,0.4769006441867997,0.5130993558132002
WS,NDCG_full,NDCG,5,0.5829376747657611,0.007673251022221196,0.5734100752222888,0.5924652743092333
WS,NDCG_at_10_percent,NDCG@10\%,5,0.5843903755204501,0.006744469073006542,0.5760160110854992,0.5927647399554011
WS,Precision_at_10_percent,P@10\%,5,0.136993699369937,0.025762079308728453,0.10500585297341869,0.1689815457664553
WS,Spearman,Spearman,5,0.0021168745424993605,0.015903033143399838,-0.017629349173901496,0.021863098258900215
WS,PairwiseAccuracy,Pairwise Acc.,5,0.5034400000000001,0.013342713367227827,0.48687283317356117,0.5200071668264391
TOPSIS,NDCG_full,NDCG,5,0.5705296788815507,0.014999605559744798,0.5519052086707585,0.5891541490923429
TOPSIS,NDCG_at_10_percent,NDCG@10\%,5,0.5722770788111242,0.01776814621907533,0.550215011336078,0.5943391462861705
TOPSIS,Precision_at_10_percent,P@10\%,5,0.14491449144914487,0.030189936689916146,0.107428733953225,0.18240024894506474
TOPSIS,Spearman,Spearman,5,-0.0010046714666899401,0.011740351845405905,-0.015582243679375603,0.013572900745995722
TOPSIS,PairwiseAccuracy,Pairwise Acc.,5,0.49660000000000004,0.01389676221283219,0.4793448906687278,0.5138551093312723
VIKOR,NDCG_full,NDCG,5,0.5940892132036081,0.020597004181168308,0.5685146546409989,0.6196637717662172
VIKOR,NDCG_at_10_percent,NDCG@10\%,5,0.5952251040076117,0.02188583279647206,0.5680502533535251,0.6223999546616984
VIKOR,Precision_at_10_percent,P@10\%,5,0.1528352835283528,0.03461779407110385,0.10985161493303133,0.19581895212367426
VIKOR,Spearman,Spearman,5,0.0089344694575337,0.026505957959263145,-0.023977024278385925,0.04184596319345332
VIKOR,PairwiseAccuracy,Pairwise Acc.,5,0.49955999999999995,0.016306685745423568,0.479312575379885,0.519807424620115
MO Weighted Sum,NDCG_full,NDCG,5,0.5753846224959422,0.008273532876810721,0.5651116745848511,0.5856575704070334
MO Weighted Sum,NDCG_at_10_percent,NDCG@10\%,5,0.5763738894988751,0.010597956890607402,0.5632147879732924,0.5895329910244579
MO Weighted Sum,Precision_at_10_percent,P@10\%,5,0.11913191319131913,0.02142367359180716,0.09253090898310341,0.14573291739953487
MO Weighted Sum,Spearman,Spearman,5,0.003121323340150041,0.01641644245957534,-0.017262382240488348,0.023505028920788432
MO Weighted Sum,PairwiseAccuracy,Pairwise Acc.,5,0.5029199999999999,0.012152859745755312,0.48783023157847577,0.518009768421524
Pareto Balanced,NDCG_full,NDCG,5,0.5876155464386197,0.004759566743744655,0.581705763765864,0.5935253291113753
Pareto Balanced,NDCG_at_10_percent,NDCG@10\%,5,0.5847944796381233,0.004263224866439478,0.5795009868052183,0.5900879724710282
Pareto Balanced,Precision_at_10_percent,P@10\%,5,0.09738973897389738,0.0036227924027899395,0.092891448074387,0.10188802987340777
Pareto Balanced,Spearman,Spearman,5,0.009483884197987359,0.02058391647140344,-0.016074423826587803,0.035042192222562524
Pareto Balanced,PairwiseAccuracy,Pairwise Acc.,5,0.50676,0.00857134761866535,0.49611726624581365,0.5174027337541863
GB Ranker,NDCG_full,NDCG,5,0.5943517767738092,0.026656937410575055,0.561252817288727,0.6274507362588915
GB Ranker,NDCG_at_10_percent,NDCG@10\%,5,0.5941898691144549,0.028432567040768034,0.5588861742434182,0.6294935639854916
GB Ranker,Precision_at_10_percent,P@10\%,5,0.11335133513351334,0.01821481135100544,0.09073465964489658,0.1359680106221301
GB Ranker,Spearman,Spearman,5,0.007088361854403921,0.009441484761401239,-0.004634789863417476,0.018811513572225318
GB Ranker,PairwiseAccuracy,Pairwise Acc.,5,0.49924,0.007111118055552193,0.49041038072344406,0.5080696192765559
RF Ranker,NDCG_full,NDCG,5,0.6019327232442416,0.025295790139920164,0.570523851321385,0.6333415951670983
RF Ranker,NDCG_at_10_percent,NDCG@10\%,5,0.602589863016761,0.02731140709636922,0.5686782720849125,0.6365014539486095
RF Ranker,Precision_at_10_percent,P@10\%,5,0.11517151715171517,0.03772045270515892,0.06833538903177147,0.16200764527165887
RF Ranker,Spearman,Spearman,5,0.017317051950791362,0.0076740275290609365,0.007788488246731789,0.026845615654850934
RF Ranker,PairwiseAccuracy,Pairwise Acc.,5,0.5017600000000001,0.0051252317020794415,0.4953961843130754,0.5081238156869248
Ridge Ranker,NDCG_full,NDCG,5,0.5833652935371754,0.02384110758726758,0.5537626485687626,0.6129679385055882
Ridge Ranker,NDCG_at_10_percent,NDCG@10\%,5,0.5826437500063676,0.02510802846863375,0.5514680149909899,0.6138194850217453
Ridge Ranker,Precision_at_10_percent,P@10\%,5,0.10135013501350135,0.021229534477229892,0.07499018635449937,0.12771008367250333
Ridge Ranker,Spearman,Spearman,5,-0.0140931200543392,0.02115270896616164,-0.04035767724210412,0.012171437133425719
Ridge Ranker,PairwiseAccuracy,Pairwise Acc.,5,0.48832000000000003,0.00857741219716065,0.4776697360770318,0.4989702639229683
Tree Ranker,NDCG_full,NDCG,5,0.5754676381518354,0.01611428926550409,0.5554591053142176,0.5954761709894533
Tree Ranker,NDCG_at_10_percent,NDCG@10\%,5,0.5745655506060997,0.01598302069734729,0.5547200092236579,0.5944110919885415
Tree Ranker,Precision_at_10_percent,P@10\%,5,0.09342934293429342,0.0051470669506735525,0.08703841520529762,0.09982027066328922
Tree Ranker,Spearman,Spearman,5,-0.0029296231247760997,0.013528066813350443,-0.019726936652208496,0.013867690402656297
Tree Ranker,PairwiseAccuracy,Pairwise Acc.,5,0.49996,0.00513887147144197,0.4935792483025141,0.5063407516974859
Risk+Usage Ranker,NDCG_full,NDCG,5,0.6032873032202536,0.012899889402753942,0.5872699749680438,0.6193046314724634
Risk+Usage Ranker,NDCG_at_10_percent,NDCG@10\%,5,0.6026879365580458,0.01217313645031452,0.5875729912824682,0.6178028818336233
Risk+Usage Ranker,Precision_at_10_percent,P@10\%,5,0.08752875287528752,0.0090168320289853,0.07633287716704586,0.09872462858352919
Risk+Usage Ranker,Spearman,Spearman,5,0.0010837560876238994,0.02096725726110232,-0.024950532394563362,0.02711804456981116
Risk+Usage Ranker,PairwiseAccuracy,Pairwise Acc.,5,0.49779999999999996,0.01029368738596624,0.48501869896408145,0.5105813010359185
Random,NDCG_full,NDCG,5,0.5866746673598391,0.022832539515270336,0.558324325056163,0.6150250096635151
Random,NDCG_at_10_percent,NDCG@10\%,5,0.5864616654671039,0.021320981256489565,0.5599881706345434,0.6129351602996643
Random,Precision_at_10_percent,P@10\%,5,0.10717071707170715,0.028716335374437803,0.07151467727692246,0.14282675686649185
Random,Spearman,Spearman,5,-0.00979957256792376,0.028412524828584862,-0.045078381745648224,0.02547923660980071
Random,PairwiseAccuracy,Pairwise Acc.,5,0.49448,0.012028798776270224,0.4795442736178677,0.5094157263821323
